site_id,site_name,latitude,longitude,country,data_availability
,Arcturus,-23.8587,148.4746,Australia,no public data
,Bia Tano Forest Reserve,7.03325,-2.62253,Ghana,no public data
,French Island,-38.3879,145.2783,Australia,no public data
,Gatum Pasture,-37.3903,141.9716,Australia,no public data
,Gorigo,10.93567,-0.82412,Ghana,no public data
,Janga,10.1299,-0.8837,Ghana,no public data
,Mole,9.3386,-1.8689,Ghana,no public data
,Wankama F,13.64251,2.631118,Niger,no public data
,Wankama M,13.647488,2.63374,Niger,no public data
,Yarramundi,-33.6135,150.7349,Australia,no public data
AE-ADb,Abu Dhabi Eastern Mangroves,24.450883,54.428792,United Arab Emirates,no public data
AKO,Akou green belt,34.786316,134.370861,Japan,accessible data
API,Appi forest meteorology research site,40.022356,140.939255,Japan,accessible data
AQ-Kse,,-62.232115,-58.804321,Antarctica,no public data
AR-Bal,Balcarce BA,-37.7596,-58.3024,Argentina,accessible data
AR-CCa,Carlos Casares agriculture,-35.621,-61.3181,Argentina,accessible data
AR-CCg,Carlos Casares grassland,-35.9244,-61.1855,Argentina,accessible data
AR-CEL,CELPA Mar Chiquita BA,-37.7028,-57.4192,Argentina,no public data
AR-ROM,Romano Mar Chiquita BA,-37.5508,-57.2972,Argentina,no public data
AR-SLu,San Luis,-33.4648,-66.4598,Argentina,accessible data
AR-TF1,Rio Moat bog,-54.9733,-66.7335,Argentina,accessible data
AR-TF2,Rio Pipo bog,-54.8269,-68.4549,Argentina,accessible data
AR-Vir,Virasoro,-28.2395,-56.1886,Argentina,accessible data
AT-Fue,,47.367374,11.854709,Austria,no public data
AT-Hnb,,47.803333,13.591389,Austria,no public data
AT-Inn,Innsbruck,47.264096,11.385816,Austria,accessible data
AT-Lan,,47.061221,10.963454,Austria,no public data
AT-Leu,,47.378036,11.16278,Austria,no public data
AT-Mac,Marchegg,48.286557,16.907064,Austria,no public data
AT-Mmg,Mieming,47.316563,10.970089,Austria,accessible data
AT-Neu,Neustift,47.116318,11.320229,Austria,accessible data
AT-Nsd,Neusiedl,47.76914,16.758492,Austria,accessible data
AT-PsM,Puergschachen Moor,47.58145,14.347197,Austria,accessible data
AT-Rtz,Rotholz,47.3947222222222,11.80472222,Austria,accessible data
AT-Sch,,47.387291,11.247935,Austria,no public data
AT-StA,,47.12528,11.28944,Austria,no public data
AT-StM,,47.12889,11.30583,Austria,no public data
AT-StP,,47.13694,11.30361,Austria,no public data
AT-VnA,Vienna Arsenal,48.1818376569608,16.3908508945253,Austria,accessible data
AT-Zoe,Zoebelboden,47.842247,14.444137,Austria,accessible data
AU-APL,Alpine Peatland,-36.862222,147.320833,Australia,accessible data
AU-ASM,Alice Springs Mulga,-22.283,133.249,Australia,accessible data
AU-Ade,Adelaide River,-13.0769,131.1178,Australia,accessible data
AU-Arc,,-23.85872,148.4746,Australia,no public data
AU-Boy,Boyagin,-32.477093,116.938559,Australia,accessible data
AU-Cas,,-19.5667,147.4,Australia,no public data
AU-Cm1,Coleambally Irrigation Area (maize and wheat rotation),-34.7597,146.0153,Australia,no public data
AU-Cm2,Coleambally (rice),-34.9252,145.8212,Australia,no public data
AU-Col,Collie,-33.42,116.237,Australia,accessible data
AU-Cow,Caow Bay,-16.238189,145.42715,Australia,accessible data
AU-Cpr,Calperum Chowilla,-34.0027,140.5877,Australia,accessible data
AU-Ctr,Cape Tribulation,-16.103219,145.446922,Australia,accessible data
AU-Cum,Cumberland Plain,-33.615278,150.723611,Australia,accessible data
AU-DaP,Daly River Pasture,-14.0633,131.3181,Australia,accessible data
AU-DaS,Daly River Savanna,-14.1592,131.3881,Australia,accessible data
AU-Drg,Dargo,-37.1334,147.1709,Australia,no public data
AU-Dry,Dry River,-15.2588,132.3706,Australia,accessible data
AU-Emr,Emerald Arcturus,-23.85872,148.4746,Australia,accessible data
AU-Fle,Fletcherview Tropical Rangeland,-19.887285,146.189138,Australia,accessible data
AU-Fog,Fogg Dam,-12.5452,131.3072,Australia,accessible data
AU-GWW,Great Western Woodlands,-30.1914,120.65417,Australia,accessible data
AU-Gin,Gingin,-31.376351,115.71377,Australia,accessible data
AU-How,Howard Springs,-12.4952,131.15005,Australia,accessible data
AU-Lit,Litchfield,-13.17904,130.79455,Australia,accessible data
AU-Lon,Longreach,-23.52327,144.31042,Australia,accessible data
AU-Lox,Loxton Eddy Covariance Site,-34.47035,140.65512,Australia,accessible data
AU-MvA,Myall Vale A,-30.543,150.02,Australia,accessible data
AU-MvB,Myall Vale B,-30.697,150.09,Australia,accessible data
AU-Nim,Nimmo,-36.2159,148.5528,Australia,no public data
AU-Otw,Otway,-38.525,142.81,Australia,accessible data
AU-RDF,"Red Dirt Melon Farm, Northern Territory",-14.563639,132.477567,Australia,accessible data
AU-Rgf,Ridgefield,-32.506102,116.966827,Australia,accessible data
AU-Rig,Riggs Creek,-36.6499,145.5759,Australia,accessible data
AU-Rob,Robson Creek,-17.11746943,145.6301375,Australia,accessible data
AU-Sam,Samford,-27.38806,152.87778,Australia,accessible data
AU-Sil,Silver Plains,-42.090556,147.0875,Australia,accessible data
AU-Sno,Aqueduct Snow Gum,-36.375649,148.43585,Australia,accessible data
AU-Stp,Sturt Plains,-17.1507,133.3502,Australia,accessible data
AU-TTE,Ti Tree East,-22.287,133.64,Australia,accessible data
AU-Tum,Tumbarumba,-35.6566,148.1516,Australia,accessible data
AU-Vir,Virginia Park,-19.8833,146.5539,Australia,no public data
AU-Wac,Wallaby Creek,-37.4259,145.1878,Australia,accessible data
AU-Wel,Wellington,-32.5727,148.9843,Australia,accessible data
AU-Wgt,Wedgetail,-42.09139,147.07944,Australia,accessible data
AU-Whr,Whroo,-36.6732,145.0294,Australia,accessible data
AU-Wom,Wombat Forest,-37.422506,144.094046,Australia,accessible data
AU-Wrr,Warra,-43.09502,146.65452,Australia,accessible data
AU-Ya1,Yarramundi Control,-33.613469,150.734864,Australia,accessible data
AU-Ya2,Yarramundi Irrigated,-33.620812,150.763284,Australia,accessible data
AU-Ync,Yanco,-34.9878,146.2908,Australia,accessible data
AUY,Australia Yanco site,-34.988282,146.291606,Australia,no public data
