"id","name","acronym","lat","lon","country","state","vegetation","status","year","pi"
1,"Torre Micromet. do K34","K34",-2.6091,-60.2093,"Brazil","Amazonas","Floresta primária","active","1999","Alessandro Araújo"
2,"ATTO Walk-up","WT",-2.1441,-58.999,"Brazil","Amazonas","Floresta primária","active","2011","Cleo Quaresma"
3,"ATTO Campina Tower","CAM",-2.181,-59.022,"Brazil","Amazonas","Campina","active","2023","Cleo Quaresma"
4,"ATTO High Tower","TT",-2.1434,-59.0006,"Brazil","Amazonas","Floresta primária","active","2012","Cleo Quaresma"
5,"Torre da Fazenda Arco-íris","FAI",-15.1166,-56.9833,"Brazil","Mato Grosso","Cerrado","active","2020","Marcelo Biudes"
6,"Torre Micromet. de Caxiuanã","CAX",-1.7185,-51.4583,"Brazil","Pará","Floresta primária","active","1999","Alessandro Araújo"
7,"Torre Micromet. de Mojú","MOJ",-1.9787,-48.6147,"Brazil","Pará","Monocultivo de palma de óleo","active","2022","Alessandro Araújo"
8,"Torre Micromet. de Tomé Açu","TMA",-2.4121,-48.2353,"Brazil","Pará","SAFs plantio de dendê","active","2022","Alessandro Araújo"
9,"Torre Micromet. do K67","K67",-2.8567,-54.9589,"Brazil","Pará","Floresta primária","active","2001","José Mauro Moura / Scott Saleska"
10,"Torre Micromet. da Fazenda Nossa Senhora","FNS",-10.7618,-62.3572,"Brazil","Rondônia","Pastagem","active","1999","Nara Andrade / Jeferson Lima"
11,"Torre Micromet. da REBIO Jarú","RBJ",-10.1866,-61.8725,"Brazil","Rondônia","Floresta primária","active","1999","Nara Andrade / Jeferson Lima"
12,"BR319 Interflúvio","BR319",-4.999,-61.55,"Brazil","Amazonas","Floresta primária (lençol freático prox. à superfície)","active","2023","Flavia Costa / Scott Stark"
13,"Mamirauá","MAM",-2.834,-65.003,"Brazil","Amazonas","Floresta da várzea","active","2024","Ayan Fleischmann"
14,"BIONTE","BNT",-2.6334,-60.1505,"Brazil","Amazonas","Broadleaf evergreen forest","active","2023","Robinson Negron-Juarez"
15,"Ducke Platô","DUKP",-2.952,-59.941,"Brazil","Amazonas","Floresta primária platô","active","2022","Flavia Costa / Scott Stark"
16,"Ducke Baixio","DUKB",-2.944,-59.947,"Brazil","Amazonas","Floresta primária baixio","active","2022","Flavia Costa / Scott Stark"
17,"Tambopata","TNR",-12.8314,-69.2836,"Peru","Tambopata","Mixed forest","active","2012","Eric Cosio / Norma Salinas"
18,"Los Amigos","AMG",-12.5598,-70.1018,"Peru","Madre de Dios","Broadleaf evergreen forest","active","2021","Eric Cosio / Norma Salinas"
19,"El Brío","BRE",-7.1026,-77.1619,"Peru","San Martín","Broadleaf evergreen forest","active","2023","Eric Cosio / Norma Salinas"
20,"Panquana","PAN",-9.6237,-74.9315,"Peru","Huánuco","Broadleaf evergreen forest","active","2023","Eric Cosio / Norma Salinas / Christoph Thomas"
21,"Quistococha Forest Reserve","QFR",-3.8344,-73.319,"Peru","Loreto","Mauritia palm swamp","active","2018","Lizardo Fachin"
22,"Maijuna Kichwa Regional Conservation Area","SUC",-3.1799,-72.9185,"Peru","Loreto","Broadleaf evergreen forest","building","2025","David Urquiza"
23,"Hato Santa Ana","CASF",5.1811,-71.7403,"Colombia","Casanare","Seasonally flooded savanna","building","2026","Santiago Botía / Stijn Hantson"
24,"Torre Inírida","INI",3.751,-67.8295,"Colombia","Inírida","White sand forest","active","2024","Angela Gallego / Juan Carlos Benavides"
25,"Guyaflux","GF-GUY",5.2788,-52.9249,"French Guiana","Paracou","Broadleaf evergreen forest","active","2004","Damien Bonal / Laëtitia Bréchet"
26,"Guatavita Station 1","CO-GV1",4.9139,-73.7365,"Colombia","Cundinamarca","Herbaceus and woody peatland","active","2023","Juan Carlos Benavides"
27,"Guatavita Station 2","CO-GV2",4.9168,-73.7429,"Colombia","Cundinamarca","Herbaceus and woody peatland","active","2023","Juan Carlos Benavides"
28,"AVA 1","PA-Bar",9.1568,-79.8486,"Panama","Barro Colorado Island","Semidecidous broadleaf forest","active","2017","Matteo Detto"
29,"AVA 2","PA-Bas",9.1565,-79.8482,"Panama","Barro Colorado Island","Semidecidous broadleaf forest","active","2019","Matteo Detto"
